,word,n_w
1014,Climate,29
1015,Clinic,6
1016,Closing,1
1017,Closure,1
1018,Club,4
1019,Co-Chair,3
1020,Co-Chairs,1
1021,Coalition,3
1022,Coast,2
1023,Coastal,1
1024,Cobourg,1
1025,Cochrane,3
1026,Code,3
1027,Colleagues,1
1028,College,1
1029,Colombia,5
1030,Colombian,4
1031,Columbia,14
1032,Columbians,4
1033,Commentator,1
1034,Comments,1
1035,Commission,3
1036,Commissioner,30
1037,Commitment,1
1038,Commitments,1
1039,Commits,3
1040,Committee,19
1041,Committing,1
1042,Common,1
1043,Commons,6
1044,Communities,3
1045,Community,2
1046,Commute,1
1047,Companies,1
1048,Company,3
1049,Compared,1
1050,Complaint,1
1051,Complete,1
1052,Concerns,1
1053,Conference,1
1054,Conflict,10
1055,Confronting,1
1056,Congress,1
1057,Conservateurs,1
1058,Conservation,1
1059,Conservative,193
1060,Conservatives,163
1061,Conserving,1
1062,Constat,1
1063,Constitution,1
1064,Construction,1
1065,Consulting,3
1066,Consumers,1
1067,Contemporary,1
1068,Contingency,1
1069,Continue,2
1070,Continued,1
1071,Continues,1
1072,Contrairement,1
1073,Control,1
1074,Convention,2
1075,Conversion,1
1076,Copenhageners,1
1077,Coptic,6
1078,Corak,1
1079,Coren,1
1080,Cormac,2
1081,Corp,1
1082,Corporate,5
1083,Corporation,4
1084,Corporations,3
1085,Corporations.According,1
1086,Corps,1
1087,Corridor,4
1088,Costing,14
1089,Costing-Platform,1
1090,Council,7
1091,Councillor,2
1092,Countless,1
1093,Country,1
1094,Couper,1
1095,Court,10
1096,Courtenay—Alberni,1
1097,Covenant,1
1098,Cover,4
1099,Cover-Ups,1
1100,Coverage,1
1101,Cox,2
1102,Coyne,2
1103,Craig,1
1104,Create,2
1105,Creating,3
1106,Credibility,1
1107,Credit,98
1108,Credit.Justin,1
1109,Cree,1
1110,Creek,2
1111,Crescent,1
1112,Cressy,1
1113,Crime,2
1114,Crisis,3
1115,Critic,22
1116,Criticizing,1
1117,Crown,2
1118,Cuban,1
1119,Cultural,2
1120,Culture,5
1121,Currently,2
1122,Cut,24
1123,Cuts,3
1124,Cutting,4
1125,Cybulski,1
1126,Cycling,1
1127,Côté,3
1128,D,1
1129,D.C.,1
1130,DAY,1
1131,DCC,2
1132,DOCUMENTATION,5
1133,DOCUMENTS,9
1134,DOLLARS,1
1135,DPB,1
1136,DRUMMONDVILLE,1
1137,Dagalo,1
1138,Daisy,3
1139,Dale,2
1140,Dalhousie,1
1141,Dam,1
1142,Damaging,1
1143,Damien,2
1144,Dan,1
1145,Dana,1
1146,Danger,1
1147,Daniel,1
1148,Dans,1
1149,Darrell,2
1150,Davenport,5
1151,Daviau,1
1152,David,14
1153,Davies,7
1154,Day,51
1155,Daybreak,1
1156,Days,5
1157,De,1
1158,Deadline,1
1159,Deal,64
1160,Dear,2
1161,Debate,10
1162,Debi,1
1163,Debout,1
1164,Debt,1
1165,Debt-to-GDP,1
1166,Dec,1
1167,Decades,3
1168,December,2
1169,Decision,1
1170,Declaration,7
1171,Deep,1
1172,Defence,2
1173,Defend,1
1174,Deficits,1
1175,Delay,1
1176,Delta,2
1177,Delta—,1
1178,Dementia,1
1179,Demes,2
1180,Democracy,3
1181,Democrat,13
1182,Democratic,1
1183,Democrats,96
1184,Denis,1
1185,Denise,1
1186,Denmark,1
1187,Denounce,1
1188,Dental,6
1189,Denticare,5
1190,Deny,1
1191,Denying,1
1192,Department,3
1193,Depoliticizing,1
1194,Deputy,3
1195,Des,1
1196,Desjardins-Siciliano,2
1197,Despite,8
1198,Details,1
1199,Devastating,1
1200,Development,8
1201,Devoir,4
1202,Dhaliwal,3
1203,Diana,3
1204,Diane,2
1205,Dib,1
1206,Dickens,1
1207,Different,1
1208,Dignity,3
1209,Dion,5
1210,Diplomacy,1
1211,Diplomatic,1
1212,Director,9
1213,Disabilities,4
1214,Disability,6
1215,Disagreement,1
1216,Disappointments,1
1217,Disaster,2
1218,Discrimination,1
1219,Disease,1
1220,Dismissed,1
1221,Divas,4
1222,Diversification,1
1223,Diwali,4
1224,Do,3
1225,Doctors,1
1226,Document,1
1227,Documents,2
1228,Does,3
1229,Dollar,1
1230,Domise,1
1231,Don,8
1232,Donald,3
1233,Donate,1
1234,Done,1
1235,Donnelly,1
1236,Donor,1
1237,Door,1
1238,Doubles,1
1239,Doug,33
1240,Douglas,3
1241,Down,1
1242,Dr.,2
1243,Dream,2
1244,Drive,3
1245,Drug,3
1246,Drummond,1
1247,Duncan,1
1248,During,8
1249,Dusseault,2
1250,Duvall,2
1251,Dylan,1
1252,Dès,1
1253,E,2
1254,E.,1
1255,E2,1
1256,EDAs,1
1257,EDC,1
1258,EI,4
1259,EU-Mercosur,1
1260,Eabametoong,5
1261,Each,1
1262,Earlier,6
1263,Early,3
1264,East,9
1265,Easter,1
1266,Eastern,1
1267,Economic,4
1268,Economy,2
1269,Eddie,2
1270,Editorial,6
1271,Edmonton,7
1272,Education,2
1273,Edward,2
1274,Edwards,1
1275,Edéhzhíe,1
1276,Egypt,1
1277,El-Maoued,7
1278,Election,9
1279,Elections,9
1280,Elections.ca,1
1281,Electoral,3
1282,Electrifying,1
1283,Elementary,1
1284,Eligible,1
1285,Eliminate,1
1286,Eliminating,2
1287,Elizabeth,4
1288,Ellen,1
1289,Elliott,1
1290,Emann,1
1291,Embarrassing,1
1292,Emera,1
1293,Emergency,2
1294,Emilie,1
1295,Emmanuelle,1
1296,Emmett,2
1297,Emperor,1
1298,Employees,1
1299,Employment,7
1300,Empty,4
1301,En,1
1302,Encourages,1
1303,Encouraging,1
1304,End,3
1305,Ends,1
1306,Energy,3
1307,Energy-East,1
1308,English,3
1309,English-language,2
1310,Enhance,1
1311,Enough,3
1312,Enriching,1
1313,Ensure,1
1314,Ensuring,2
1315,Entrepreneur,1
1316,Entrepreneurs,1
1317,Entrepreneurship,2
1318,Environment,9
1319,Environmental,1
1320,Environmentalist,1
1321,Equal,1
1322,Equality,4
1323,Equity,1
1324,Erasing,1
1325,Eric,1
1326,Erin,2
1327,Essex,2
1328,Est,1
1329,Est-ce,1
1330,Estate,1
1331,Estimates,1
1332,Et,1
1333,Ethics,24
1334,Europe,3
1335,European,3
1336,Evan,7
1337,Even,7
1338,Event,1
1339,Every,4
1340,Everyday,1
1341,Everyone,4
1342,Everything,3
1343,Evicted,1
1344,Evidence-based,1
1345,Exceeding,1
1346,Exchange,1
1347,Executive,1
